userid,std dev diff,expectations,first_forecast_date,total_predictions,std_dev_sequence
70110638,"[12.0, -87.0]","[0.0, 2.0, 2.0]",2019-10-01,3,"[76.0, 88.0, 1.0]"
70110645,"[1.0, 1.0, 0.0, 10.0, -5.0, 68.0, -65.0, 14.0, -13.0, 9.0, -11.0, 11.0]","[0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",2019-10-01,13,"[1.0, 2.0, 3.0, 3.0, 13.0, 8.0, 76.0, 11.0, 25.0, 12.0, 21.0, 10.0, 21.0]"
70110646,"[0.0, 0.0, 0.0, 0.0, 10.0, -10.0, 2.0, -2.0, 1.0, 0.0, 0.0, 6.0]","[3.0, 2.0, 3.0, 3.0, 3.0, 7.0, 3.0, 6.0, 3.0, 5.0, 5.0, 5.0, 7.0]",2019-10-01,13,"[1.0, 1.0, 1.0, 1.0, 1.0, 11.0, 1.0, 3.0, 1.0, 2.0, 2.0, 2.0, 8.0]"
70110655,"[-40.0, 44.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2019-10-01,10,"[72.0, 32.0, 76.0, 76.0, 76.0, 76.0, 76.0, 76.0, 76.0, 76.0]"
70110665,"[4.0, -4.0, 9.0]","[1.0, 1.0, 2.0, 4.0]",2019-11-01,4,"[1.0, 5.0, 1.0, 10.0]"
70110666,"[-222.0, 90.0, -89.0, 123.0, -127.0, -2.0, 16.0, -29.0, 8.0, 41.0, -60.0]","[1.0, 0.0, -2.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",2019-10-01,12,"[298.0, 76.0, 166.0, 77.0, 200.0, 73.0, 71.0, 87.0, 58.0, 66.0, 107.0, 47.0]"
70110668,"[-41.0, 1.0, -9.0, 28.0, -2.0, -7.0, -9.0, 67.0, -25.0, 83.0, -95.0, -47.0, 37.0, -19.0]","[2.0, 1.0, 0.0, 1.0, 1.0, -3.0, 1.0, 0.0, 0.0, -4.0, 0.0, 6.0, 7.0, 4.0, 5.0]",2019-10-01,15,"[57.0, 16.0, 17.0, 8.0, 36.0, 34.0, 27.0, 18.0, 85.0, 60.0, 143.0, 48.0, 1.0, 38.0, 19.0]"
70110671,"[-6.0, 1.0, -4.0, -2.0, 7.0, 5.0, -12.0, 6.0, 1.0, -1.0, -3.0, -5.0]","[0.0, 2.0, 7.0, 6.0, 5.0, 7.0, 8.0, 6.0, 8.0, 6.0, 8.0, 9.0, 10.0]",2019-10-01,13,"[16.0, 10.0, 11.0, 7.0, 5.0, 12.0, 17.0, 5.0, 11.0, 12.0, 11.0, 8.0, 3.0]"
70110675,"[-9.0, 49.0, -61.0, 0.0, 12.0, -10.0, -1.0, 0.0, 3.0, -4.0]","[7.0, 7.0, 0.0, 3.0, 1.0, 2.0, 6.0, 2.0, 2.0, 2.0, 1.0]",2019-10-01,11,"[21.0, 12.0, 61.0, 0.0, 0.0, 12.0, 2.0, 1.0, 1.0, 4.0, 0.0]"
70110676,"[-15.0, 4.0, -1.0]","[7.0, 10.0, 10.0, 7.0]",2019-10-01,4,"[16.0, 1.0, 5.0, 4.0]"
70110681,"[1.0, -1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 2.0, 1.0, 0.0, -2.0, 1.0]","[2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 3.0, 3.0]",2019-11-01,13,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 4.0, 4.0, 2.0, 3.0]"
70110682,"[-41.0, 6.0, -7.0, 1.0, 4.0, -5.0, 10.0, -10.0, 1.0, 8.0, -7.0]","[-3.0, 0.0, 2.0, 0.0, -2.0, -4.0, 0.0, 7.0, -3.0, 6.0, 0.0, -1.0]",2019-10-01,12,"[42.0, 1.0, 7.0, 0.0, 1.0, 5.0, 0.0, 10.0, 0.0, 1.0, 9.0, 2.0]"
70110690,"[-1.0, -1.0, 0.0, 2.0, 4.0, -5.0, 2.0, -3.0, 2.0, -1.0]","[5.0, 4.0, 3.0, -1.0, -1.0, -1.0, -2.0, -1.0, -1.0, -1.0, -1.0]",2019-11-01,11,"[2.0, 1.0, 0.0, 0.0, 2.0, 6.0, 1.0, 3.0, 0.0, 2.0, 1.0]"
